driver,avg_overperformance,total_races,chaos_score_norm,sunday_score_norm,active_races_latest_season,is_active,power_score,power_score_norm,power_score_v2_norm,race_pace,quali_h2h,tyre_management,launch,low_confidence
Pierre Gasly,49.7528199855197,182,48.8701917289177,46.06751068313731,9,True,48.75096964806262,47.95332744025436,53.04215386631465,47.61226274000755,56.15101172688742,47.01128845515123,49.47798747567623,False
Sergey Sirotkin,45.30322696929174,21,43.04247628224824,64.07682068159366,0,False,48.37972050563908,47.41906250474688,44.10376237578633,36.85141140484517,53.09778535261729,37.78316248941072,62.09521425455224,False
Yuki Tsunoda,49.6763988638942,114,47.4364914044893,46.1609979943145,0,False,48.301346452156785,47.30627434217813,45.17978295550846,44.99199479472126,45.4605790234044,46.70763334263877,51.50300788888442,False
Antonio Giovinazzi,41.408839759048696,60,49.43230417581698,61.950760224562536,0,False,47.924263177181956,46.76361350188577,46.79421179645373,43.87911810139624,53.60961235589168,33.539710761519125,60.09894575793137,False
Lando Norris,48.03318098744886,161,47.87101798324903,44.39758430653427,9,True,47.25741275000599,45.803948522884035,56.52370668776808,56.94965938127189,55.21662210443854,47.32665821753281,43.54592857687415,False
Daniel Ricciardo,47.37067976899728,128,46.74245612165667,43.57062831252472,0,False,46.42220238350059,44.60199662157269,48.8966944665355,50.0254148739877,46.55147346485741,57.28195012784401,43.76593254422624,False
Esteban Ocon,47.856151259108415,160,43.263723628921795,47.0509050001357,9,True,46.31737371825788,44.45113760622355,46.715226610222494,45.726649821041434,47.34334031437446,51.9219667815536,54.932533673834456,False
Oscar Piastri,47.71456571275126,79,46.80835493139101,40.81122114281431,9,True,46.062033564355794,44.08367738808967,51.655016787995,58.876604997335924,45.84080694356335,48.70938522923681,43.65769068963638,False
Nikita Mazepin,42.01613623689832,22,38.299278660919455,64.69325311048418,0,False,45.43650233882183,43.183474904964356,25.4437281447153,26.200105986043404,34.09283208180318,48.66258363242367,54.71052817330378,False
Arvid Lindblad,40.39086641191509,9,50.1243845951413,50.0,9,True,45.23274858449994,42.89025271540842,48.170726795513126,49.41287762097336,48.82626376550936,48.42519761443782,58.43671263086539,False
George Russell,46.14195570465765,161,42.78502950047524,45.84426972300431,9,True,45.07534064707226,42.6637268277278,52.49842421977975,51.905856090802786,57.39566193195361,48.025403125486896,44.091726740461894,False
Kimi Antonelli,45.48656682570102,33,49.433734094038726,34.973393070468006,9,True,44.56808225515573,41.93373087332981,46.97856503549009,,,,,True
Romain Grosjean,43.674692173063875,57,45.297420653369464,44.047184582524494,0,False,44.23600919904768,41.45584427473146,43.41129454756526,41.513159229612334,52.029449248649144,58.670862059378614,38.2897428744191,False
Gabriel Bortoleto,49.83919400228007,33,37.00202507419239,39.60820640703791,9,True,43.94184580480533,41.03251350061145,32.673671695331464,44.130432942769986,47.57322316456089,22.15538737972701,38.43593334959793,False
Valtteri Bottas,43.411479820161006,158,48.3575336428701,35.915402650761465,9,True,43.39608053309383,40.24710226493912,44.93188066105411,50.79656234397292,51.097076166189225,47.497586162849636,40.25223133261418,False
Fernando Alonso,42.972734781034326,144,42.03609983778449,43.30178709946001,9,True,42.75755476174451,39.32819932061767,49.3378662209217,46.5474716203653,60.47401975936725,49.397628959407065,51.998863906941374,False
Charles Leclerc,42.71943959131042,182,39.13975281570036,42.066838945192856,9,True,41.51501342940389,37.54005710309039,52.86202857907242,58.4927199062316,56.26512770323186,45.51554466287855,51.89072511422919,False
Nyck De Vries,31.814149253492893,11,39.52207720023929,47.54795722453435,0,False,37.2732892317251,31.435788443722146,25.399397534231483,35.31335200731202,41.42624696676671,54.196356996749834,41.07221706880059,False
Isack Hadjar,39.82768800076588,33,10.86693309596167,25.888147911354313,9,True,28.351553511442305,18.596511487834476,30.627756173222327,52.347243394444774,49.10344602322367,51.67235748693726,37.00878083340825,False
